crime_count,MONTH,HOUR,DAY_OF_WEEK,percent_difference
24,1,8,Saturday,-0.88357253526869444672
94,1,8,Sunday,-0.54399242980238658298
97,1,8,Thursday,-0.52943899671097338882
101,1,8,Tuesday,-0.51003441925575579660
61,1,8,Wednesday,-0.70408019380793171874
80,1,9,Friday,-0.61190845089564815572
129,1,9,Monday,-0.37420237706923265111
30,1,9,Saturday,-0.85446566908586805840
25,1,9,Sunday,-0.87872139090489004866
109,1,9,Thursday,-0.47122526434532061218
103,1,9,Tuesday,-0.50033213052814700050
44,1,9,Wednesday,-0.78654964799260648565
88,1,10,Friday,-0.57309929598521297130
28,1,10,Monday,-0.86416795781347685450
76,1,10,Saturday,-0.63131302835086574794
69,1,10,Sunday,-0.66527103889749653431
117,1,10,Thursday,-0.43241610943488542775
32,1,10,Tuesday,-0.84476338035825926229
118,1,10,Wednesday,-0.42756496507108102969
139,1,11,Friday,-0.32569093343118867057
165,1,11,Monday,-0.19956117997227432118
64,1,11,Saturday,-0.68952676071651852458
94,1,11,Sunday,-0.54399242980238658298
95,1,11,Thursday,-0.53914128543858218492
56,1,11,Tuesday,-0.72833591562695370901
